correct,false_negative,false_positive,max_probe_bytes,mean_decision_byte,mean_oracle_regret_bpb,min_projected_gain_bits,persistence_observations,recent_gain_bits,recent_window
11,1,2,96,36.642857142857146,0.008527483258928572,128,8,1,4
11,1,2,96,36.642857142857146,0.008527483258928572,256,8,1,4
11,1,2,96,39.07142857142857,0.008527483258928572,0,8,2,4
11,1,2,96,39.07142857142857,0.008527483258928572,32,8,2,4
11,1,2,96,39.07142857142857,0.008527483258928572,64,8,2,4
11,1,2,96,39.07142857142857,0.008527483258928572,128,8,2,4
11,1,2,96,39.07142857142857,0.008527483258928572,256,8,2,4
12,1,1,96,43.642857142857146,0.0108642578125,0,8,3,4
12,1,1,96,43.642857142857146,0.0108642578125,32,8,3,4
12,1,1,96,43.642857142857146,0.0108642578125,64,8,3,4
12,1,1,96,43.642857142857146,0.0108642578125,128,8,3,4
12,1,1,96,43.642857142857146,0.0108642578125,256,8,3,4
12,2,0,96,50.07142857142857,0.020350864955357144,0,8,4,4
12,2,0,96,50.07142857142857,0.020350864955357144,32,8,4,4
12,2,0,96,50.07142857142857,0.020350864955357144,64,8,4,4
12,2,0,96,50.07142857142857,0.020350864955357144,128,8,4,4
12,2,0,96,50.07142857142857,0.020350864955357144,256,8,4,4
10,1,3,96,28.357142857142858,0.008527483258928572,0,2,1,8
10,1,3,96,28.357142857142858,0.008527483258928572,32,2,1,8
10,1,3,96,28.357142857142858,0.008527483258928572,64,2,1,8
10,1,3,96,28.357142857142858,0.008527483258928572,128,2,1,8
11,2,1,96,12.785714285714286,0.032871791294642856,256,2,1,8
10,1,3,96,28.357142857142858,0.008527483258928572,0,2,2,8
10,1,3,96,28.357142857142858,0.008527483258928572,32,2,2,8
10,1,3,96,28.357142857142858,0.008527483258928572,64,2,2,8
10,1,3,96,28.357142857142858,0.008527483258928572,128,2,2,8
10,1,3,96,28.357142857142858,0.008527483258928572,256,2,2,8
10,1,3,96,28.357142857142858,0.008527483258928572,0,2,3,8
10,1,3,96,28.357142857142858,0.008527483258928572,32,2,3,8
10,1,3,96,28.357142857142858,0.008527483258928572,64,2,3,8
10,1,3,96,28.357142857142858,0.008527483258928572,128,2,3,8
10,1,3,96,28.357142857142858,0.008527483258928572,256,2,3,8
10,1,3,96,28.357142857142858,0.008527483258928572,0,2,4,8
10,1,3,96,28.357142857142858,0.008527483258928572,32,2,4,8
10,1,3,96,28.357142857142858,0.008527483258928572,64,2,4,8
10,1,3,96,28.357142857142858,0.008527483258928572,128,2,4,8
10,1,3,96,28.357142857142858,0.008527483258928572,256,2,4,8
10,1,3,96,30.857142857142858,0.008527483258928572,0,4,1,8
10,1,3,96,30.857142857142858,0.008527483258928572,32,4,1,8
10,1,3,96,30.857142857142858,0.008527483258928572,64,4,1,8
10,1,3,96,30.857142857142858,0.008527483258928572,128,4,1,8
11,2,1,96,14.142857142857142,0.032871791294642856,256,4,1,8
10,1,3,96,30.857142857142858,0.008527483258928572,0,4,2,8
10,1,3,96,30.857142857142858,0.008527483258928572,32,4,2,8
10,1,3,96,30.857142857142858,0.008527483258928572,64,4,2,8
10,1,3,96,30.857142857142858,0.008527483258928572,128,4,2,8
10,1,3,96,30.857142857142858,0.008527483258928572,256,4,2,8
10,1,3,96,31.357142857142858,0.008527483258928572,0,4,3,8
10,1,3,96,31.357142857142858,0.008527483258928572,32,4,3,8
10,1,3,96,31.357142857142858,0.008527483258928572,64,4,3,8
10,1,3,96,31.357142857142858,0.008527483258928572,128,4,3,8
10,1,3,96,31.357142857142858,0.008527483258928572,256,4,3,8
10,1,3,96,31.5,0.008527483258928572,0,4,4,8
10,1,3,96,31.5,0.008527483258928572,32,4,4,8
10,1,3,96,31.5,0.008527483258928572,64,4,4,8
10,1,3,96,31.5,0.008527483258928572,128,4,4,8
10,1,3,96,31.5,0.008527483258928572,256,4,4,8
10,1,3,96,33.857142857142854,0.008527483258928572,0,8,1,8
10,1,3,96,33.857142857142854,0.008527483258928572,32,8,1,8
10,1,3,96,33.857142857142854,0.008527483258928572,64,8,1,8
10,1,3,96,33.857142857142854,0.008527483258928572,128,8,1,8
11,2,1,96,15.857142857142858,0.032871791294642856,256,8,1,8
10,1,3,96,33.857142857142854,0.008527483258928572,0,8,2,8
10,1,3,96,33.857142857142854,0.008527483258928572,32,8,2,8
10,1,3,96,33.857142857142854,0.008527483258928572,64,8,2,8
10,1,3,96,33.857142857142854,0.008527483258928572,128,8,2,8
10,1,3,96,33.857142857142854,0.008527483258928572,256,8,2,8
10,1,3,96,33.92857142857143,0.008527483258928572,0,8,3,8
10,1,3,96,33.92857142857143,0.008527483258928572,32,8,3,8
10,1,3,96,33.92857142857143,0.008527483258928572,64,8,3,8
10,1,3,96,33.92857142857143,0.008527483258928572,128,8,3,8
10,1,3,96,33.92857142857143,0.008527483258928572,256,8,3,8
10,1,3,96,34.07142857142857,0.008527483258928572,0,8,4,8
10,1,3,96,34.07142857142857,0.008527483258928572,32,8,4,8
10,1,3,96,34.07142857142857,0.008527483258928572,64,8,4,8
10,1,3,96,34.07142857142857,0.008527483258928572,128,8,4,8
10,1,3,96,34.07142857142857,0.008527483258928572,256,8,4,8
10,1,3,96,31.571428571428573,0.008527483258928572,0,2,1,16
10,1,3,96,31.571428571428573,0.008527483258928572,32,2,1,16
10,1,3,96,31.571428571428573,0.008527483258928572,64,2,1,16
11,2,1,96,14.857142857142858,0.032871791294642856,128,2,1,16
7,7,0,96,0,0.08292061941964286,256,2,1,16
10,1,3,96,31.571428571428573,0.008527483258928572,0,2,2,16
10,1,3,96,31.571428571428573,0.008527483258928572,32,2,2,16
10,1,3,96,31.571428571428573,0.008527483258928572,64,2,2,16
10,1,3,96,31.571428571428573,0.008527483258928572,128,2,2,16
11,2,1,96,14.857142857142858,0.032871791294642856,256,2,2,16
10,1,3,96,31.571428571428573,0.008527483258928572,0,2,3,16
10,1,3,96,31.571428571428573,0.008527483258928572,32,2,3,16
10,1,3,96,31.571428571428573,0.008527483258928572,64,2,3,16
10,1,3,96,31.571428571428573,0.008527483258928572,128,2,3,16
10,1,3,96,31.571428571428573,0.008527483258928572,256,2,3,16
10,1,3,96,31.571428571428573,0.008527483258928572,0,2,4,16
10,1,3,96,31.571428571428573,0.008527483258928572,32,2,4,16
